episode,global_step,scene,length,return,success,collision,goal_distance,replay_size,curriculum_phase,initial_state_phase,initial_state_name,rl_gate_alpha_mean,distance_gate_alpha_mean,intrinsic_exploration_return,replay_labeled_transitions,cross_track_rmse,precision_constraint_cost_mean_square,precision_constraint_target_mean_square,precision_constraint_violation,precision_constraint_multiplier_before,precision_constraint_multiplier,precision_constraint_feasible,covariance_scale_0_mean,covariance_scale_0_std,covariance_scale_1_mean,covariance_scale_1_std
28,8512,high_dynamic_accel_turn_l56__long_delay_seen,320,-147.27145130844943,False,False,1.0222574140055949,8512,uniform,disabled,configured_initial,1.0,1.0,0.0,320,0.4740003688135864,0.22467634963541597,0.0016,0.22307634963541598,0.0,0.0,False,1.0,0.0,1.0,0.0
29,8671,high_dynamic_sweep_l56__high_mass_seen,159,89.15469263675746,True,False,0.23193851429483173,8671,uniform,disabled,configured_initial,1.0,1.0,0.0,159,0.18179435111038358,0.03304918609564542,0.0016,0.031449186095645426,0.0,0.0,False,1.0,0.0,1.0,0.0
30,8853,high_dynamic_sweep_l56__high_mass_seen,182,85.92663773226651,True,False,0.24863954784870046,8853,uniform,disabled,configured_initial,1.0,1.0,0.0,182,0.2013215583926638,0.040530369873650746,0.0016,0.03893036987365075,0.0,0.0,False,1.0,0.0,1.0,0.0
31,9016,high_dynamic_sweep_l56__long_delay_seen,163,82.90320052864115,True,False,0.2461214873765227,9016,uniform,disabled,configured_initial,1.0,1.0,0.0,163,0.20645083147853577,0.042621945818178776,0.0016,0.04102194581817878,0.0,0.0,False,1.0,0.0,1.0,0.0
32,9247,high_dynamic_chicane_l56__low_friction_seen,231,81.20620637669776,True,False,0.23112511286658716,9247,uniform,disabled,configured_initial,1.0,1.0,0.0,231,0.20451906794194644,0.0418280491518425,0.0016,0.040228049151842506,0.0,0.0,False,1.0,0.0,1.0,0.0
33,9567,high_dynamic_accel_turn_l56__long_delay_seen,320,-94.28127687955481,False,False,1.1815154139620903,9567,uniform,disabled,configured_initial,1.0,1.0,0.0,320,0.4502873881968277,0.2027587319691206,0.0016,0.2011587319691206,0.0,0.0,False,1.0,0.0,1.0,0.0
34,9927,high_dynamic_accel_straight_l56__low_friction_seen,360,-317.5650701473471,False,False,0.5594687310000549,9927,uniform,disabled,configured_initial,1.0,1.0,0.0,360,0.6205857325667256,0.3851266514653794,0.0016,0.3835266514653794,0.0,0.0,False,1.0,0.0,1.0,0.0
35,10157,high_dynamic_accel_turn_l56__high_mass_seen,230,103.49374835414075,True,False,0.22371454505207244,10157,uniform,disabled,configured_initial,1.0,1.0,0.0,230,0.14850601315472486,0.02205403594311131,0.0016,0.02045403594311131,0.0,0.0,False,1.0,0.0,1.0,0.0
36,10345,high_dynamic_accel_turn_l56__nominal_seen,188,108.3545500830675,True,False,0.23899247741172713,10345,uniform,disabled,configured_initial,1.0,1.0,0.0,188,0.14361919502329176,0.020626473179138315,0.0016,0.019026473179138314,0.0,0.0,False,1.0,0.0,1.0,0.0
37,10577,high_dynamic_chicane_l56__high_mass_seen,232,73.38099014771404,True,False,0.24864725181183586,10577,uniform,disabled,configured_initial,1.0,1.0,0.0,232,0.24013433824556665,0.057664500404636214,0.0016,0.05606450040463622,0.0,0.0,False,1.0,0.0,1.0,0.0
38,10748,high_dynamic_accel_straight_l56__nominal_seen,171,86.30623257837462,True,False,0.24363041545665112,10748,uniform,disabled,configured_initial,1.0,1.0,0.0,171,0.1861404308657512,0.034648260002887496,0.0016,0.0330482600028875,0.0,0.0,False,1.0,0.0,1.0,0.0
39,10966,high_dynamic_accel_turn_l56__high_mass_seen,218,99.95493623377689,True,False,0.24830511869565147,10966,uniform,disabled,configured_initial,1.0,1.0,0.0,218,0.16911676398035996,0.028600479859188774,0.0016,0.027000479859188773,0.0,0.0,False,1.0,0.0,1.0,0.0
40,11142,high_dynamic_accel_straight_l56__high_mass_seen,176,79.7902189469618,True,False,0.24281765434485716,11142,uniform,disabled,configured_initial,1.0,1.0,0.0,176,0.22156219240269387,0.04908980510228833,0.0016,0.047489805102288334,0.0,0.0,False,1.0,0.0,1.0,0.0
41,11313,high_dynamic_accel_straight_l56__high_mass_seen,171,80.14712200194049,True,False,0.2471994702537639,11313,uniform,disabled,configured_initial,1.0,1.0,0.0,171,0.21773046773034258,0.04740655657807375,0.0016,0.045806556578073754,0.0,0.0,False,1.0,0.0,1.0,0.0
42,11485,high_dynamic_accel_straight_l56__long_delay_seen,172,85.67700208315094,True,False,0.2448777372693957,11485,uniform,disabled,configured_initial,1.0,1.0,0.0,172,0.1863256355884067,0.034717242477423735,0.0016,0.03311724247742374,0.0,0.0,False,1.0,0.0,1.0,0.0
43,11685,high_dynamic_chicane_l56__long_delay_seen,200,91.30828993179256,True,False,0.24887251225855964,11685,uniform,disabled,configured_initial,1.0,1.0,0.0,200,0.18820547249618283,0.035421299877511435,0.0016,0.03382129987751144,0.0,0.0,False,1.0,0.0,1.0,0.0
44,11909,high_dynamic_accel_turn_l56__nominal_seen,224,100.62935271803221,True,False,0.2454190078342231,11909,uniform,disabled,configured_initial,1.0,1.0,0.0,224,0.16335534827803316,0.026684969811037514,0.0016,0.025084969811037514,0.0,0.0,False,1.0,0.0,1.0,0.0
45,12061,high_dynamic_sweep_l56__high_mass_seen,152,93.55755356312775,True,False,0.23631574183505483,12061,uniform,disabled,configured_initial,1.0,1.0,0.0,152,0.15029038795578514,0.02258720071190041,0.0016,0.020987200711900408,0.0,0.0,False,1.0,0.0,1.0,0.0
46,12252,high_dynamic_chicane_l56__long_delay_seen,191,85.14374336420155,True,False,0.24390748721509256,12252,uniform,disabled,configured_initial,1.0,1.0,0.0,191,0.21912602601516454,0.048016215277198564,0.0016,0.046416215277198566,0.0,0.0,False,1.0,0.0,1.0,0.0
47,12449,high_dynamic_chicane_l56__long_delay_seen,197,84.84147178008044,True,False,0.2389761989745083,12449,uniform,disabled,configured_initial,1.0,1.0,0.0,197,0.21390197538213024,0.04575405507237745,0.0016,0.044154055072377456,0.0,0.0,False,1.0,0.0,1.0,0.0
48,12657,high_dynamic_chicane_l56__long_delay_seen,208,89.48220412571698,True,False,0.23389293943536274,12657,uniform,disabled,configured_initial,1.0,1.0,0.0,208,0.1893749219479543,0.03586286106279379,0.0016,0.03426286106279379,0.0,0.0,False,1.0,0.0,1.0,0.0
49,12863,high_dynamic_chicane_l56__nominal_seen,206,85.32355856652518,True,False,0.2350802219243473,12863,uniform,disabled,configured_initial,1.0,1.0,0.0,206,0.20684724026405252,0.04278578080485467,0.0016,0.041185780804854674,0.0,0.0,False,1.0,0.0,1.0,0.0
50,13070,high_dynamic_accel_turn_l56__nominal_seen,207,99.88548396039184,True,False,0.23965941874636992,13070,uniform,disabled,configured_initial,1.0,1.0,0.0,207,0.17363182023832432,0.03014800899927377,0.0016,0.028548008999273768,0.0,0.0,False,1.0,0.0,1.0,0.0
51,13287,high_dynamic_chicane_l56__long_delay_seen,217,79.64720515716739,True,False,0.21969077251639674,13287,uniform,disabled,configured_initial,1.0,1.0,0.0,217,0.22542157937269622,0.050814888446880785,0.0016,0.04921488844688079,0.0,0.0,False,1.0,0.0,1.0,0.0
