benchmark_arm,scene,physics_domain,episodes,independent_seeds,success_mean,collision_mean,steps_mean,final_goal_distance_mean,trajectory_length_mean,minimum_clearance_mean,stuck_steps_mean,spin_steps_mean,mean_abs_omega_mean,control_jerk_mean,planner_compute_ms_mean_mean,planner_compute_ms_p95_mean,planner_compute_ms_max_mean,paper_total_rollouts_mean_mean
rl_driven_mppi,lab_complex,nominal_seen,10,10,1.0,0.0,372.9,0.29850964501028465,7.0716911658672945,0.38853397588225563,33.6,7.0,0.25886962531176866,0.08996904081700252,39.64137160924291,49.38731229660334,69.53194139932748,100.0
rl_driven_mppi,narrow_corridor,combined_unseen,10,10,1.0,0.0,433.6,0.2980321926979976,6.437986633965201,0.3127776705193147,100.2,6.7,0.1571854948211499,0.06521528875948981,28.190530770860626,33.959670678013936,45.60111470054835,100.0
rl_driven_mppi,narrow_corridor,nominal_seen,10,10,1.0,0.0,421.4,0.29692830751656646,6.374520645490777,0.305111727631474,91.8,4.6,0.14747916611246387,0.06634777326651646,28.732907725469182,35.39039587543812,47.56505550467409,100.0
rl_driven_mppi,u_trap_long_board,combined_unseen,10,10,1.0,0.0,483.6,0.2990660601028672,7.328023729307105,0.39575039924798033,120.8,5.0,0.22177267435522258,0.07365524869151932,30.40259136987629,37.62543605611427,49.45799379784148,100.0
rl_driven_mppi,u_trap_long_board,nominal_seen,10,10,0.9,0.0,489.1,0.29987911623065583,7.1660585477103,0.3687188786413426,135.5,1.7,0.20086605593873214,0.07175137624011363,29.846676413044964,36.15865559215308,48.78431360120885,100.0
simple_combination,lab_complex,combined_unseen,10,10,1.0,0.0,376.9,0.2969549349519046,7.040082231163533,0.3915142590105011,35.9,10.9,0.26915837727155295,0.0882883408293981,203.47891576096714,238.35254752935725,268.9093850000063,100.0
simple_combination,lab_complex,nominal_seen,10,10,1.0,0.0,368.4,0.29800607791393885,6.950255936676939,0.3860436533814088,39.2,9.2,0.2601894857126184,0.08805075307346441,221.86450254200912,280.17920256315847,341.490942199016,100.0
simple_combination,narrow_corridor,combined_unseen,10,10,1.0,0.0,433.4,0.29877651957021606,6.422299928528091,0.3155063835855948,107.6,6.5,0.1584143215705627,0.062725848398455,175.90496431625712,219.52486628171755,292.35568999429233,100.0
simple_combination,narrow_corridor,nominal_seen,10,10,1.0,0.0,427.9,0.2977444630458085,6.3925931228447315,0.30622279288874077,98.5,4.3,0.15455363540050543,0.06464747478600845,172.1850363398418,208.90508412063355,247.93811279523652,100.0
simple_combination,u_trap_long_board,combined_unseen,10,10,1.0,0.0,501.2,0.2990329371752586,7.206582315775509,0.38517926910412037,146.7,4.9,0.20099508327461155,0.0699057882695277,174.45706523665567,216.88020834539202,271.22461020189803,100.0
simple_combination,u_trap_long_board,nominal_seen,10,10,1.0,0.0,468.3,0.29926303885642697,7.091508202454317,0.3666783833022532,113.7,1.9,0.20980159850068505,0.07297512752496518,175.64049741272814,221.1344614419795,272.48489659978077,100.0
value_fixed,lab_complex,combined_unseen,10,10,1.0,0.0,375.5,0.29711377456858445,7.011245655601087,0.39671399523989526,39.7,10.3,0.2599573290054506,0.08742619955038225,202.18843813455715,231.59262112501892,284.1244478011504,100.0
value_fixed,lab_complex,nominal_seen,10,10,1.0,0.0,359.6,0.2962701263340981,6.905428025112208,0.37628357459770434,34.7,6.1,0.25023806966067935,0.08988679412096258,212.74357260799488,279.6991588715173,324.18611670436803,100.0
