episode,global_step,scene,length,return,success,collision,goal_distance,replay_size,curriculum_phase,initial_state_phase,initial_state_name,rl_gate_alpha_mean,distance_gate_alpha_mean,intrinsic_exploration_return,replay_labeled_transitions,cross_track_rmse,precision_constraint_cost_mean_square,precision_constraint_target_mean_square,precision_constraint_violation,precision_constraint_multiplier_before,precision_constraint_multiplier,precision_constraint_feasible,covariance_scale_0_mean,covariance_scale_0_std,covariance_scale_1_mean,covariance_scale_1_std
31,7740,high_dynamic_accel_straight_l56__high_mass_seen,130,97.73178208523919,True,False,0.2470687081006305,7740,uniform,disabled,configured_initial,1.0,1.0,0.0,130,0.0894936955049536,0.008009121535133352,0.0016,0.006409121535133352,0.0,0.0,False,1.0,0.0,1.0,0.0
32,7878,high_dynamic_accel_straight_l56__low_friction_seen,138,96.76319971966353,True,False,0.24154992425278957,7878,uniform,disabled,configured_initial,1.0,1.0,0.0,138,0.10757223605617001,0.011571785970124366,0.0016,0.009971785970124365,0.0,0.0,False,1.0,0.0,1.0,0.0
33,8019,high_dynamic_accel_straight_l56__low_friction_seen,141,98.9711313043096,True,False,0.21798099914443814,8019,uniform,disabled,configured_initial,1.0,1.0,0.0,141,0.08004586706340008,0.0064073408339315185,0.0016,0.004807340833931519,0.0,0.0,False,1.0,0.0,1.0,0.0
34,8194,high_dynamic_accel_turn_l56__high_mass_seen,175,100.19886557501256,True,False,0.23867831534473327,8194,uniform,disabled,configured_initial,1.0,1.0,0.0,175,0.1906911874474492,0.0363631289701182,0.0016,0.034763128970118205,0.0,0.0,False,1.0,0.0,1.0,0.0
35,8398,high_dynamic_chicane_l56__low_friction_seen,204,80.55806444646144,True,False,0.24316438625322045,8398,uniform,disabled,configured_initial,1.0,1.0,0.0,204,0.22749759943337364,0.05175515774794772,0.0016,0.05015515774794772,0.0,0.0,False,1.0,0.0,1.0,0.0
36,8537,high_dynamic_accel_straight_l56__low_friction_seen,139,97.03211011441901,True,False,0.24091330514431686,8537,uniform,disabled,configured_initial,1.0,1.0,0.0,139,0.1030389878486486,0.010617033016873953,0.0016,0.009017033016873953,0.0,0.0,False,1.0,0.0,1.0,0.0
37,8680,high_dynamic_sweep_l56__nominal_seen,143,96.8530051535313,True,False,0.23890355629990231,8680,uniform,disabled,configured_initial,1.0,1.0,0.0,143,0.1232009721073841,0.015178479528204435,0.0016,0.013578479528204434,0.0,0.0,False,1.0,0.0,1.0,0.0
38,8807,high_dynamic_accel_straight_l56__long_delay_seen,127,99.14283415383292,True,False,0.22613543509418302,8807,uniform,disabled,configured_initial,1.0,1.0,0.0,127,0.07986166842450686,0.006377886083545875,0.0016,0.004777886083545875,0.0,0.0,False,1.0,0.0,1.0,0.0
39,8991,high_dynamic_chicane_l56__nominal_seen,184,91.92882250310149,True,False,0.22922586318746815,8991,uniform,disabled,configured_initial,1.0,1.0,0.0,184,0.19204225402708494,0.03688022733180343,0.0016,0.03528022733180343,0.0,0.0,False,1.0,0.0,1.0,0.0
40,9128,high_dynamic_accel_straight_l56__low_friction_seen,137,99.36338376517864,True,False,0.2320383507984695,9128,uniform,disabled,configured_initial,1.0,1.0,0.0,137,0.05867293785515447,0.0034425136365548183,0.0016,0.0018425136365548182,0.0,0.0,False,1.0,0.0,1.0,0.0
41,9281,high_dynamic_sweep_l56__low_friction_seen,153,101.44291228846332,True,False,0.22069275090401283,9281,uniform,disabled,configured_initial,1.0,1.0,0.0,153,0.07330932283290276,0.005374256814218757,0.0016,0.003774256814218757,0.0,0.0,False,1.0,0.0,1.0,0.0
