run_dir,arm,metrics_sha256,trajectory_sha256,config_sha256,provenance_sha256,plant_backend,mujoco_version,prediction_mode
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91002_opposed_u_seed91002/runs/simple_combination/simple_combination__l218_opposed_u__nominal_seen__seed91002,simple_combination,b506d86909471c6fe0e91a8453d5f3f528fbba8805b31cac11ea47b87479eeb2,df37fe4fb3b296f271840c7a46239a44cd532b8e865bcbbbb4449173659f691e,3aff5e1c8e2dd248eedac9c94f90a511b7be1a568d6d4bcc52e40ed8840e782a,9347fa143f5f7650261533efa0745c23ae0bda1a23b2e76c2bd7c5c8d51a84d3,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91002_opposed_u_seed91002/runs/full_proposed/full_proposed__l218_opposed_u__nominal_seen__seed91002,full_proposed,c9d76039e3c15c87b40cd223c3ab8f6359270c5129aecf15b9488790a6cccf9e,3141d43c2923d3637deece45e5393a582b35f32536ba322518a3d68678832aa7,f27bc843f821f7596bfe4f1564552624c6f6e40550397d02bd27f3e7003f43ac,e00dba577bbcea2af129dae82b3cdc23c900d850af449a747a4c4bb5ec231f9a,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91002_serpentine_seed91002/runs/simple_combination/simple_combination__l218_serpentine__nominal_seen__seed91002,simple_combination,6c4f4d357d7daa8b955db78ba3df6c8d68b8df9b22013ba0dcc60bf9d6002886,fcd866e4c831ed2d66c5ca21db72bd2fb3eaa5ac65d52597d8c901c415dde4b5,d3c00c6b0b979f02cb28f8c6e9e0a322fdc26728464f9d4887eced193c75d0fc,23b3155f4622508b5f02d41d1cb99db18e5cc2845d4350f70afc205e0519ed69,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91002_serpentine_seed91002/runs/full_proposed/full_proposed__l218_serpentine__nominal_seen__seed91002,full_proposed,6a854e096b18ba9fa26d30fb25e085f56661a6fd327e19e05d1c5fb3c197ad08,60faea2842b63326a6c19f1e6e7a37293ac0fda8794196b41643f9acaba721dc,ff3253194075fba1762d548b0ad423730229a4346aabf94e72b5b5e099dfee50,a98b9ebe3dfd63b32616482452c02da3b85bc6ee75f402eec432a9f66f9cc20d,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91003_cylinder_forest_seed91003/runs/simple_combination/simple_combination__l218_cylinder_forest__nominal_seen__seed91003,simple_combination,4eeab44443b9d95f87e43fa29b517973ca878246f1aa927a041900eea34d2ad7,b30e5be441e061b6e1ff02c857a201a196197e554c6ca59070c4daee1a499f0f,10e58d972e50247bb7867f416d54cff15f06562a59ec9fe8722ff69b89002252,6e76309fe0a3e7089d00db0ff80757ab3a7a2109668e76ad9f1ba475f99537ca,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91003_cylinder_forest_seed91003/runs/full_proposed/full_proposed__l218_cylinder_forest__nominal_seen__seed91003,full_proposed,e5f3414af339fe7d7b983f31902d65e933291a569a800b28b36b10dc918b0e47,5b014ea6f9cba3613c2d521de453b73fda9b054721c8b0c92fe860500c669e32,9c06649d52ccb60d57a4832fb487329e0d3cbf23355b4ddcab06a614b7446511,d7acef48e93bc75affb95e299d6328b4513d8d11a6eb0873d5d20a623f7f3bef,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91003_cylinder_spiral_seed91003/runs/simple_combination/simple_combination__l218_cylinder_spiral__nominal_seen__seed91003,simple_combination,a45a9dcd9d0ceae2e8dfdf4839353aaba49134792dfa2159c76afd04ec4c8c65,3faf4479c4736c43bd6cd7c260bf9a0126697ac3e6725ac78b386f2f19bc9ef2,e81c25e9982c671511c1aae6931402074d2351271908d0a915e602f35bebc0b2,e819e124a3bc4da5cca30ebd0fd6f1eb8864225adb130e7ba0b14ec7f1acca23,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91003_cylinder_spiral_seed91003/runs/full_proposed/full_proposed__l218_cylinder_spiral__nominal_seen__seed91003,full_proposed,4e95c3901fab4fe11110d7f04bef3b62ab2ffa3a1b5ebb3f6d551bdbfc45b6e8,4490451b037ec439696c8f8c21c1edd5b4894693d4f372b3b64c9f83bad7e1d8,ce4c4ee9cbe3412f402949b97e1587f9581e3416aa4aa330e92efdcdf3159080,164476934294ecf9a561ba40cc4a2ad9c051320e428894b0621ca356f8bad689,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91003_giant_u_seed91003/runs/simple_combination/simple_combination__l218_giant_u__nominal_seen__seed91003,simple_combination,6561e4944003ce1aaf441efacba097ec310ddb9b90b03c6535b0cc689dbc248a,cb1956ee8aa8393a2fc274e53803ee5d4ba0b35262d91ee35fee11ad6816a40b,c58e0e3f24da8fba3baa3ab401b54f14478c9b9d4f5b0c74dbaf86caf2b29882,66c2f56339c29e1d6b384a49b5aa92b4b1bb01371532ad22267917827dfe412c,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91003_giant_u_seed91003/runs/full_proposed/full_proposed__l218_giant_u__nominal_seen__seed91003,full_proposed,6600a38fe46cc5b5212ae91165d97902a97ce2fe4d975d8793325512b73e4442,918c99e735e42edf3c23d71648c7342b36c9adcb70eb9c0edbb9b12232241a17,3f81c3a6ccfc1899d50716ea266d7461482412bb267d255f6dcaab5319fbaee7,9f25162241557022e1958e3cf648a5365d6ef050b2d8338fea3e84fe37af554a,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91003_nested_u_seed91003/runs/simple_combination/simple_combination__l218_nested_u__nominal_seen__seed91003,simple_combination,eacce7abaa1e49ff15cb90f73016ec93fb61c7e3ab63582b0cf405ac5401bd85,b1a8a3ec788c3babc3f422de3e979e6a1c55c9603186a36d96f8117bd89f2c1c,04563a7b5feeec4c27b00472bfcd094bf691dbac3dd62ad2ba6d71dce118c7ad,ba25767e48ce3f50a9e3f2cb21975ab44171f21b95bf3a5cf602853b08fccb17,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91003_nested_u_seed91003/runs/full_proposed/full_proposed__l218_nested_u__nominal_seen__seed91003,full_proposed,c9238b8b8718baf870c6165616cd6c509807b2a8571e87541034b149f8e6ffd6,fafb830bbc5f3eb5a03f218f92204d1478f2bff1e519af16083d9ffab150b13e,9a68e64bdd8a54a358c6bf69ec321a300d4626875e123ff31239a1421378c458,de346e51c227bb7f09c95375cfa1032e6cfef93bec4648318d237e549959e589,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91003_opposed_u_seed91003/runs/simple_combination/simple_combination__l218_opposed_u__nominal_seen__seed91003,simple_combination,6e7bb03aa941178f756ccabc795498a0a1131608b66228c59e9df16d77062337,9965d2fc534c64ef21054d8a7293cd207a9a015dad8310f78a7cf18741ff0123,d803479b2a74896abd19dfff6ca9c44855efe9c3bb929d6cb13f89afcf27aab6,fbbb7a07014572be1d472c4b641a9d9d34df75c05c5485570c987f74d3cec85e,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91003_opposed_u_seed91003/runs/full_proposed/full_proposed__l218_opposed_u__nominal_seen__seed91003,full_proposed,900807a0945e667b708d0716cb4ba7d8cbff8410da470f7b5195c443711462d2,2721441b279d33e3dfc8febaa99f21f27b50a98698fdccbdf8672e604e024a6e,2a960dba8d22fdffc284f10a76fe8eff9c904af970d3187bd90014ff3b88c181,aa380f6e02e7c3e5471259a42b19ac7726abb0118f2887e40ea10bded400151d,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91003_serpentine_seed91003/runs/simple_combination/simple_combination__l218_serpentine__nominal_seen__seed91003,simple_combination,09a14b781e37bf9b82b887f4b533209508282caa3de6605f8f99bddbf5d7cff6,43a3beacc4d4281e39b293b14f0b57d2711895c2ba1197f7d0c32359d604e8ca,3374b24cba65e31f07728cce63584b6da61e7f10aa85039c0355ec2e65ca2d37,8144c0a8b8752ff7c7078b86d338d4af855f82eaf4c61ab854608a4f4d8acc16,mujoco_diff_drive,3.2.3,icode_residual
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_coupled_gate_v2_s91003_serpentine_seed91003/runs/full_proposed/full_proposed__l218_serpentine__nominal_seen__seed91003,full_proposed,3765e813695d5b87d2119db5d9103b6907d8ce75dc6e4443d71a79a9e3f416f0,5cb78abd383edf960bad244a4154f5bbde1eafe7876ce4962bc6c35b415816a4,bc0662f5e5ea1c5d820dc6a29f5cab177cc31b426bbd34cdf26f1504cd8bf8dc,7ba5e94b8ecbf54da1f82ab3e33f1c033649f46469ce2ca3058e5a9ffaef7a9c,mujoco_diff_drive,3.2.3,icode_residual
