episode_id,split,seed,scene,physics_domain,authority,level,rollout_error,terminal_error,windows
test_000_00,test,22840000,high_dynamic_sweep_l56__nominal_seen,nominal_seen,0.5708496570704726,medium,0.16637894784959364,0.20642836116172109,101
test_000_01,test,22840037,high_dynamic_sweep_l56__nominal_seen,nominal_seen,0.5217284287969531,medium,0.15540879700113322,0.19284221744619745,99
test_001_00,test,22841009,high_dynamic_sweep_l56__high_mass_seen,high_mass_seen,0.5465628205196186,medium,0.1472399020934012,0.1794175742822314,99
test_001_01,test,22841046,high_dynamic_sweep_l56__high_mass_seen,high_mass_seen,0.5339863328828751,medium,0.1508169194273411,0.18822816019734434,99
test_002_00,test,22842018,high_dynamic_sweep_l56__low_friction_seen,low_friction_seen,0.053317291633193035,low,0.26813186587184595,0.3382388501521515,108
test_002_01,test,22842055,high_dynamic_sweep_l56__low_friction_seen,low_friction_seen,0.22816253779348666,low,0.22948484343679118,0.296873287814125,109
test_003_00,test,22843027,high_dynamic_sweep_l56__long_delay_seen,long_delay_seen,0.2367890512483064,low,0.19075041715573204,0.23930214959056495,101
test_003_01,test,22843064,high_dynamic_sweep_l56__long_delay_seen,long_delay_seen,0.277858472010871,low,0.18492530624271372,0.22722701595132816,102
test_004_00,test,22844036,high_dynamic_chicane_l56__nominal_seen,nominal_seen,0.7957624297033099,high,0.10099249076890827,0.11913962615654841,120
test_004_01,test,22844073,high_dynamic_chicane_l56__nominal_seen,nominal_seen,0.7430173069592025,high,0.1150146944157169,0.13657785461223634,117
test_005_00,test,22845045,high_dynamic_chicane_l56__high_mass_seen,high_mass_seen,0.7524607899319994,high,0.10690548516957356,0.1279145649759453,118
test_005_01,test,22845082,high_dynamic_chicane_l56__high_mass_seen,high_mass_seen,0.7566829278377967,high,0.10804712457127871,0.12696144050984484,114
test_006_00,test,22846054,high_dynamic_chicane_l56__low_friction_seen,low_friction_seen,0.47378303287600115,medium,0.17405047800102108,0.19745894942795386,129
test_006_01,test,22846091,high_dynamic_chicane_l56__low_friction_seen,low_friction_seen,0.5919585191411536,medium,0.15712467493308788,0.18750030412492238,125
test_007_00,test,22847063,high_dynamic_chicane_l56__long_delay_seen,long_delay_seen,0.5590248135003648,medium,0.13253093453630851,0.1504709130676959,118
test_007_01,test,22847100,high_dynamic_chicane_l56__long_delay_seen,long_delay_seen,0.6380648206652845,medium,0.1344394011636038,0.1506626388434267,118
unseen_000_00,unseen,22841000,high_dynamic_reverse_s_unseen_l56__nominal_seen,nominal_seen,0.523581725386223,medium,0.17142134383712354,0.21510898981158294,100
