confirmatory_holm_family,contrast,control_events,control_mean,control_median,control_rate,effect_scale,endpoint,exact_mcnemar_two_sided_p,higher_is_better,holm_adjusted_p_three_contrasts,mean_favorable_effect,mean_treatment_minus_control,median_treatment_minus_control,n,paired_t_two_sided_95ci,paired_table,split,tango_one_sided_95ci_lower,tango_one_sided_95ci_upper,tango_two_sided_95ci,treatment_events,treatment_mean,treatment_median,treatment_minus_control,treatment_rate,whole_seed_bootstrap_mean_95ci,wilcoxon_two_sided_p
False,B11_full_proposed_minus_A_no_icode,,0.9634013795058389,0.2930471314736641,,positive_is_favorable,final_goal_distance,,False,0.48480576366858585,0.07535206709088353,-0.07535206709088353,-0.0008975596820126885,140,"[-0.25332259098441917, 0.10261845680265212]",,pooled,,,,,0.8880493124149554,0.2926015607113016,,,"[-0.2528718783481093, 0.09936118935544003]",0.24240288183429293
False,B11_full_proposed_minus_A_fixed_hss,,0.9106159392130609,0.293565344005308,,positive_is_favorable,final_goal_distance,,False,0.2845801815975957,0.022566626798105345,-0.022566626798105345,-0.0016459831899998945,140,"[-0.2244858317703133, 0.17935257817410263]",,pooled,,,,,0.8880493124149554,0.2926015607113016,,,"[-0.21526945063602454, 0.1840283279073934]",0.0948600605325319
False,B11_full_proposed_minus_A_full_ordinary_imm,,0.2861583735558688,0.35088851841836183,,positive_is_favorable,minimum_clearance,,True,1.0,-0.0025283715090224142,-0.0025283715090224142,0.0,140,"[-0.008702205971388774, 0.003645462953343946]",,pooled,,,,,0.2836300020468464,0.35088851841836183,,,"[-0.009198803558571356, 0.002993760244298935]",0.8650247445824978
False,B11_full_proposed_minus_A_no_icode,,0.2795037215984274,0.34336708922729064,,positive_is_favorable,minimum_clearance,,True,1.0,0.004126280448418983,0.004126280448418983,0.0,140,"[-0.007915195447838804, 0.01616775634467677]",,pooled,,,,,0.2836300020468464,0.35088851841836183,,,"[-0.007606227369893423, 0.01628195522593042]",0.8835224607581216
False,B11_full_proposed_minus_A_fixed_hss,,0.27402182207482834,0.33200775736988863,,positive_is_favorable,minimum_clearance,,True,6.13328726296128e-07,0.009608179972018025,0.009608179972018025,0.00850796651919189,140,"[-0.007892540292748598, 0.027108900236784646]",,pooled,,,,,0.2836300020468464,0.35088851841836183,,,"[-0.00779188504262517, 0.027029814669591937]",2.0444290876537602e-07
False,B11_full_proposed_minus_A_full_ordinary_imm,,0.4176359415975287,0.36874700993606546,,positive_is_favorable,conflict_q05_clearance,,True,0.8227246035495941,0.0008612168437889157,0.0008612168437889157,0.0,140,"[-0.0017411628430054047, 0.003463596530583236]",,pooled,,,,,0.4184971584413176,0.36874700993606546,,,"[-0.0016768429825467523, 0.0034879151248833435]",0.41136230177479705
False,B11_full_proposed_minus_A_no_icode,,0.4183459382081211,0.36874700993606546,,positive_is_favorable,conflict_q05_clearance,,True,0.9874944486088829,0.00015122023319649012,0.00015122023319649012,0.0,140,"[-0.004239960536956875, 0.004542401003349856]",,pooled,,,,,0.4184971584413176,0.36874700993606546,,,"[-0.004141405443746437, 0.0045472684198799105]",0.9874944486088829
False,B11_full_proposed_minus_A_fixed_hss,,0.4044019548167978,0.3442904955063365,,positive_is_favorable,conflict_q05_clearance,,True,4.547098962121886e-12,0.0140952036245198,0.0140952036245198,0.016062904047619758,140,"[0.007040188062698156, 0.021150219186341444]",,pooled,,,,,0.4184971584413176,0.36874700993606546,,,"[0.0075026878249970395, 0.021424917781448238]",1.5156996540406286e-12
False,B11_full_proposed_minus_A_full_ordinary_imm,52,,,0.7428571428571429,positive_is_favorable,safe_success,0.25,,0.75,0.042857142857142816,,,70,,"{'n11': 52, 'n10': 3, 'n01': 0, 'n00': 15}",id,0.004049987527195804,0.10248130922672202,"[-0.011395479266410574, 0.11859668748592136]",55,,,0.042857142857142816,0.7857142857142857,,
False,B11_full_proposed_minus_A_no_icode,55,,,0.7857142857142857,positive_is_favorable,safe_success,1.0,,1.0,0.0,,,70,,"{'n11': 53, 'n10': 2, 'n01': 2, 'n00': 13}",id,-0.058583689623895735,0.058583689623895735,"[-0.07432694059433909, 0.07432694059433909]",55,,,0.0,0.7857142857142857,,
False,B11_full_proposed_minus_A_fixed_hss,54,,,0.7714285714285715,positive_is_favorable,safe_success,1.0,,1.0,0.014285714285714235,,,70,,"{'n11': 51, 'n10': 4, 'n01': 3, 'n00': 12}",id,-0.05487859144840873,0.0858509973963833,"[-0.07154764445612466, 0.1029677549417908]",55,,,0.014285714285714235,0.7857142857142857,,
False,B11_full_proposed_minus_A_full_ordinary_imm,14,,,0.2,positive_is_favorable,collision,1.0,,1.0,0.01428571428571429,,,70,,"{'n11': 11, 'n10': 2, 'n01': 3, 'n00': 54}",id,-0.0786321368336679,0.046607846642013895,"[-0.09500857256488376, 0.062424225496664015]",13,,,-0.01428571428571429,0.18571428571428572,,
False,B11_full_proposed_minus_A_no_icode,11,,,0.15714285714285714,positive_is_favorable,collision,0.7265625,,1.0,-0.02857142857142858,,,70,,"{'n11': 8, 'n10': 5, 'n01': 3, 'n00': 54}",id,-0.04300129515240339,0.10425271394114,"[-0.059836683394217674, 0.12188586068940513]",13,,,0.02857142857142858,0.18571428571428572,,
False,B11_full_proposed_minus_A_fixed_hss,15,,,0.21428571428571427,positive_is_favorable,collision,0.6875,,1.0,0.028571428571428553,,,70,,"{'n11': 11, 'n10': 2, 'n01': 4, 'n00': 53}",id,-0.09767105411309718,0.03467170946487039,"[-0.11460124021276663, 0.05056951305550178]",13,,,-0.028571428571428553,0.18571428571428572,,
False,B11_full_proposed_minus_A_full_ordinary_imm,,339.34285714285716,315.5,,positive_is_favorable,failure_penalized_steps,,False,1.0,0.3142857142857143,-0.3142857142857143,0.0,70,"[-1.3787285344521902, 0.7501571058807617]",,id,,,,,339.0285714285714,314.0,,,"[-1.4, 0.6857142857142857]",0.5048257024384477
False,B11_full_proposed_minus_A_no_icode,,339.62857142857143,313.5,,positive_is_favorable,failure_penalized_steps,,False,0.18290434533701244,0.6,-0.6,0.0,70,"[-1.9864244386813907, 0.7864244386813909]",,id,,,,,339.0285714285714,314.0,,,"[-1.957142857142857, 0.7571428571428571]",0.060968115112337476
False,B11_full_proposed_minus_A_fixed_hss,,340.4142857142857,323.5,,positive_is_favorable,failure_penalized_steps,,False,1.0,1.3857142857142857,-1.3857142857142857,0.0,70,"[-5.525665600740199, 2.754237029311627]",,id,,,,,339.0285714285714,314.0,,,"[-5.6571428571428575, 2.457499999999917]",0.8275645753754299
False,B11_full_proposed_minus_A_full_ordinary_imm,,0.9628752526168604,0.29465871668781396,,positive_is_favorable,final_goal_distance,,False,0.8482304930349356,0.007883656600195755,-0.007883656600195755,0.0,70,"[-0.21961801515520868, 0.2038507019548172]",,id,,,,,0.954991596016665,0.29253833954827585,,,"[-0.21627619584684502, 0.20166834410699494]",0.4241152465174678
False,B11_full_proposed_minus_A_no_icode,,0.8235761848944015,0.29538101472172495,,positive_is_favorable,final_goal_distance,,False,0.8482304930349356,-0.1314154111222631,0.1314154111222631,-2.850625152289732e-05,70,"[-0.11323227137309244, 0.37606309361761864]",,id,,,,,0.954991596016665,0.29253833954827585,,,"[-0.07836921538257419, 0.3938612816088747]",0.6971502873791435
False,B11_full_proposed_minus_A_fixed_hss,,0.9430271671882651,0.29497211686818725,,positive_is_favorable,final_goal_distance,,False,0.8175514720821481,-0.011964428828399697,0.011964428828399697,-0.0021715043632489217,70,"[-0.2813394532260088, 0.3052683108828082]",,id,,,,,0.954991596016665,0.29253833954827585,,,"[-0.26228352107235925, 0.3138486989172265]",0.272517157360716
