confirmatory_holm_family,effect,effect_scale,endpoint,holm_adjusted_p_three_contrasts,mean_favorable_effect,median_favorable_effect,n,split,whole_seed_bootstrap_mean_95ci,wilcoxon_two_sided_p
False,probability_main,positive_is_favorable,conflict_q05_clearance,2.9735686747878047e-52,0.12018008450117795,0.044120785188778266,360,pooled,"[0.10266163827786698, 0.13855048881217527]",9.911895582626016e-53
False,learning_by_probability_interaction,positive_is_favorable,conflict_q05_clearance,3.7794451977134347e-31,-0.0861188323219062,-0.017729033828911583,360,pooled,"[-0.11088105059049469, -0.06232219501352126]",1.8897225988567173e-31
False,learning_main,positive_is_favorable,safe_success,1.5395434365709068e-08,0.13333333333333333,0.0,180,id,"[0.09166666666666666, 0.175]",5.131811455236356e-09
False,probability_main,positive_is_favorable,safe_success,1.1409724149784775e-06,-0.12222222222222222,0.0,180,id,"[-0.16944444444444445, -0.07777777777777778]",5.704862074892387e-07
False,learning_by_probability_interaction,positive_is_favorable,safe_success,5.976322465968275e-05,0.15555555555555556,0.0,180,id,"[0.07777777777777778, 0.23333333333333334]",5.976322465968275e-05
False,learning_main,positive_is_favorable,collision_free,0.4867132967831418,0.019444444444444445,0.0,180,id,"[-0.019444444444444445, 0.058333333333333334]",0.4867132967831418
False,probability_main,positive_is_favorable,collision_free,0.0172909718121586,0.06944444444444445,0.0,180,id,"[0.022222222222222223, 0.11666666666666667]",0.005763657270719533
False,learning_by_probability_interaction,positive_is_favorable,collision_free,0.08878655895980156,-0.09444444444444444,0.0,180,id,"[-0.17222222222222222, -0.016666666666666666]",0.04439327947990078
False,learning_main,positive_is_favorable,failure_penalized_steps,2.771025451192218e-22,21.025,26.75,180,id,"[18.05, 23.916666666666668]",2.771025451192218e-22
False,probability_main,positive_is_favorable,failure_penalized_steps,1.0449813144306336e-27,-34.975,-39.75,180,id,"[-38.455555555555556, -31.466666666666665]",3.483271048102112e-28
False,learning_by_probability_interaction,positive_is_favorable,failure_penalized_steps,2.1753959235356615e-24,54.53888888888889,71.0,180,id,"[47.75555555555555, 61.105555555555554]",1.0876979617678307e-24
False,learning_main,positive_is_favorable,final_goal_distance,0.0017203899157892922,0.1046520475583467,0.002915966604432149,180,id,"[-0.05691230919487909, 0.2666014708428961]",0.001098146461195099
False,probability_main,positive_is_favorable,final_goal_distance,0.0015215203748722684,-0.0070289183460159575,-0.004221409830854214,180,id,"[-0.191468769002908, 0.17342001679674462]",0.0005071734582907561
False,learning_by_probability_interaction,positive_is_favorable,final_goal_distance,0.0017203899157892922,0.021948799758856788,0.008939554610921246,180,id,"[-0.2766713750781836, 0.3228537032639166]",0.0008601949578946461
False,learning_main,positive_is_favorable,path_progress_m_max,0.04150476752583821,0.084383481787018,-0.02246294113067293,180,id,"[-0.06543595009891777, 0.23383518159636235]",0.04150476752583821
False,probability_main,positive_is_favorable,path_progress_m_max,0.03784998596727593,0.06451265962275397,0.022092149700825736,180,id,"[-0.11021493594483406, 0.2369365178616155]",0.018924992983637964
False,learning_by_probability_interaction,positive_is_favorable,path_progress_m_max,0.00727179367573056,-0.06663082764682104,-0.042254025604626655,180,id,"[-0.33776811506791654, 0.20813477408539757]",0.0024239312252435203
False,learning_main,positive_is_favorable,minimum_clearance,0.09693404620691727,0.007298957364956328,0.0007210332577079481,180,id,"[-0.00735384346446576, 0.022157982014902832]",0.09693404620691727
False,probability_main,positive_is_favorable,minimum_clearance,5.852101206518163e-14,0.05323611643707527,0.036328701796888824,180,id,"[0.03479394608592969, 0.07166204907412854]",1.950700402172721e-14
False,learning_by_probability_interaction,positive_is_favorable,minimum_clearance,9.017023356506202e-08,-0.04670823632954612,-0.015674169879906386,180,id,"[-0.07479926872688748, -0.018775448524469347]",4.508511678253101e-08
False,learning_main,positive_is_favorable,conflict_q05_clearance,0.5542565444912386,-0.011480006339604549,0.0012768207344441562,180,id,"[-0.02651873537982923, 0.002613713743031992]",0.5542565444912386
False,probability_main,positive_is_favorable,conflict_q05_clearance,7.287392794196311e-28,0.11363194510263919,0.04403673789910595,180,id,"[0.09125247479403241, 0.13754965984268336]",2.4291309313987704e-28
False,learning_by_probability_interaction,positive_is_favorable,conflict_q05_clearance,6.104954538322853e-18,-0.08777630040661805,-0.018220725573876773,180,id,"[-0.11907218799540377, -0.05928839532303403]",3.0524772691614264e-18
False,learning_main,positive_is_favorable,safe_success,1.3926456463159194e-06,0.125,0.0,180,ood,"[0.08055555555555556, 0.16944444444444445]",4.642152154386398e-07
False,probability_main,positive_is_favorable,safe_success,9.343110686324309e-05,-0.125,0.0,180,ood,"[-0.18333333333333332, -0.06666666666666667]",4.6715553431621544e-05
