ablation_block,applied_control_jerk,arm,block_order,boundary_violation,boundary_violation_steps,collision,collision_free,conflict_q05_clearance,conflict_q05_used_episode_fallback,conflict_traversal_censored,conflict_traversal_time_failure_penalized_s,conflict_window_sample_count,direction_switch_count,failure_penalized_steps,final_goal_distance,minimum_clearance,model_block,path_progress_m_max,planner_compute_ms_p95_health_only,planner_deadline_miss_rate_health_only,premature_reverse_count,release_delay_censored_events,release_delay_event_count,release_delay_max_s,release_delay_mean_s,risk_or_raw_closing_steps,safe_success,seed,spin_steps,split,steps,stuck_steps,three_phase_oscillation_count,time_to_goal_s,trajectory_length,zero_speed_risk_fraction,zero_speed_risk_steps
False,0.028911122175792836,B00_strong_nominal_mppi,3,False,0,False,True,0.32175471955501556,False,False,7.199999999999418,37,0,303,0.28575551801548,0.31973819186351427,2,8.515641901546262,9.569770001689903,0.0,0,0,0,0.0,0.0,0,True,740200207,4,id,303,21,0,30.299999999994085,8.583164791028809,0.0,0
False,0.05828885494900976,B01_probability_only,3,False,0,False,True,0.37006560568819713,False,False,7.599999999999374,37,1,391,0.2996968711358814,0.36065407736451427,2,8.556297615053467,39.85484999975597,0.0,0,0,2,0.19999999999997797,0.19999999999997797,27,True,740200207,0,id,391,23,0,39.10000000000182,9.504512945502245,0.5555555555555556,15
True,0.03409912431183165,B10_learning_only,4,False,0,False,True,0.9976057864006963,False,True,40.0,48,0,299,0.2892133929109013,0.3975433643131314,0,8.531363441674191,468.06893999928434,1.0,0,0,0,0.0,0.0,0,True,740200116,3,id,299,7,0,29.899999999994307,8.836140055260977,0.0,0
True,0.032881196039743286,B11_full_proposed,4,False,0,False,True,0.9541546473313698,False,True,40.0,48,0,301,0.282987396508286,0.3975433643131314,0,8.51842986190723,481.10950000045705,1.0,0,0,1,0.19999999999988916,0.19999999999988916,52,True,740200116,0,id,301,8,0,30.099999999994196,8.65100924579267,0.0,0
True,0.03171932090440453,A_full_ordinary_imm,4,False,0,False,True,1.0015705311180003,False,True,40.0,48,0,299,0.28562791656774267,0.3975433643131314,0,8.600813711826394,483.1198200012295,1.0,0,0,1,0.19999999999988916,0.19999999999988916,18,True,740200116,0,id,299,8,0,29.899999999994307,8.90380828262873,0.0,0
True,0.03185827870015156,A_no_icode,4,False,0,False,True,1.079327546648004,False,True,40.0,48,0,302,0.2879216213051103,0.3975433643131314,0,8.591525464819304,108.74771000071632,0.5629139072847682,0,0,1,0.19999999999988916,0.19999999999988916,19,True,740200116,0,id,302,8,0,30.19999999999414,8.990130941140352,0.0,0
True,0.03529530864712098,A_fixed_hss,4,False,0,False,True,1.1250005879284828,False,True,40.0,48,0,304,0.285854618308199,0.3975433643131314,0,8.563958695817888,421.79376499971113,1.0,0,0,1,0.19999999999988916,0.19999999999988916,15,True,740200116,3,id,304,9,0,30.39999999999403,8.938942487852934,0.0,0
True,0.050470048229227495,B01_probability_only,4,False,0,False,True,1.2430478077597822,False,True,40.0,48,0,357,0.29895832530742195,0.3975433643131314,0,8.510350798461182,35.459780001838226,0.0,0,0,1,0.19999999999988916,0.19999999999988916,10,True,740200116,0,id,357,17,0,35.699999999997665,8.895689156725657,0.0,0
True,0.045932353011587775,B00_strong_nominal_mppi,4,False,0,False,True,0.8693076999841767,False,True,40.0,48,0,295,0.2906110698758383,0.3971835887391415,0,8.545109655247435,9.770870000284049,0.0,0,0,0,0.0,0.0,0,True,740200116,1,id,295,8,0,29.49999999999453,8.754780236772197,0.0,0
False,0.06692671562564291,B01_probability_only,5,False,0,False,True,0.36164270450808345,False,False,7.599999999999374,36,1,389,0.29698340103818544,0.351423100616032,1,8.574064480256299,39.89088000089396,0.0,0,0,1,0.49999999999994493,0.49999999999994493,19,True,740200325,0,id,389,19,0,38.900000000001576,9.550621747765646,0.6842105263157895,13
False,0.022215327837465416,B10_learning_only,5,False,0,False,True,0.32947166344881396,False,False,6.8999999999994515,36,0,303,0.28723690050165246,0.32690737060902253,1,8.515249521028736,466.84347999835154,1.0,0,0,0,0.0,0.0,0,True,740200325,10,id,303,27,0,30.299999999994085,8.523976577358233,0.0,0
False,0.027662940545978086,B11_full_proposed,5,False,0,False,True,0.3615660772591884,False,False,6.9999999999994404,36,1,303,0.29305075431080885,0.35142640048378904,1,8.507072862772919,480.8579800021107,1.0,0,0,2,0.19999999999997797,0.19999999999997797,23,True,740200325,0,id,303,8,0,30.299999999994085,8.822105912163956,0.6086956521739131,14
False,0.025496083464108185,B00_strong_nominal_mppi,5,False,0,False,True,0.32332346419132024,False,False,6.7999999999994625,36,0,301,0.28263663398300526,0.32050021106155735,1,8.51856798765319,9.667500002251472,0.0,0,0,0,0.0,0.0,0,True,740200325,6,id,301,21,0,30.099999999994196,8.581155206248008,0.0,0
True,0.032053278523417,A_no_icode,6,False,0,False,True,0.3748065807138283,False,True,40.0,97,1,311,0.2901830995580093,0.34248521295136325,2,8.52679044231442,108.71690000021772,0.6463022508038585,0,0,2,0.5999999999999781,0.39999999999993363,17,True,740300233,0,ood,311,9,0,31.099999999993642,9.065668837345374,0.4117647058823529,7
