arm,endpoint,mean_or_rate,median,n,q25,q75,sd,split
B10_learning_only,conflict_traversal_time_failure_penalized_s,21.36611111111048,11.349999999997205,360,6.4999999999994955,40.0,16.06715421113702,pooled
B10_learning_only,zero_speed_risk_steps,0.0,0.0,360,0.0,0.0,0.0,pooled
B10_learning_only,planner_compute_ms_p95_health_only,464.12196594443895,467.8033599997434,360,466.5796299986596,469.2960687492359,18.866928290018706,pooled
B10_learning_only,planner_deadline_miss_rate_health_only,1.0,1.0,360,1.0,1.0,0.0,pooled
B01_probability_only,safe_success,0.5833333333333334,,360,,,,pooled
B01_probability_only,collision,0.10555555555555556,,360,,,,pooled
B01_probability_only,boundary_violation,0.0,,360,,,,pooled
B01_probability_only,failure_penalized_steps,385.73055555555555,388.0,360,379.0,400.0,17.207472617924644,pooled
B01_probability_only,final_goal_distance,0.9470260165965239,0.29870527130513247,360,0.29540617168764827,0.48686560626345454,1.6470915923325924,pooled
B01_probability_only,path_progress_m_max,7.972259632196986,8.551837439380998,360,8.360110759448691,8.560180241023797,1.5053677809177037,pooled
B01_probability_only,minimum_clearance,0.30691017676000876,0.3606016553461537,360,0.3510750748681606,0.3609860164787716,0.13283265604359723,pooled
B01_probability_only,conflict_q05_clearance,0.46844911306383497,0.3729181086461433,360,0.3691410529916106,0.42317148162784035,0.23993179575626647,pooled
B01_probability_only,trajectory_length,9.022712486567515,9.460247389606128,360,9.169841301783075,9.53965029382703,1.5276684698821705,pooled
B01_probability_only,applied_control_jerk,0.07230369856815852,0.06600042925249613,360,0.06186655978721862,0.07736963283286226,0.01617389862944482,pooled
B01_probability_only,stuck_steps,32.05555555555556,25.5,360,18.0,41.0,19.385180056389263,pooled
B01_probability_only,spin_steps,2.422222222222222,0.0,360,0.0,1.0,7.023601719943704,pooled
B01_probability_only,direction_switch_count,1.3972222222222221,1.0,360,1.0,2.0,1.0663205972960894,pooled
B01_probability_only,three_phase_oscillation_count,0.027777777777777776,0.0,360,0.0,0.0,0.19550821013203323,pooled
B01_probability_only,premature_reverse_count,0.027777777777777776,0.0,360,0.0,0.0,0.16456426996068801,pooled
B01_probability_only,release_delay_max_s,0.704722222222152,0.3999999999997783,360,0.19999999999999718,0.8000000000000007,0.8820114581557102,pooled
