control_mean,control_median,endpoint,higher_is_better,mean_favorable_effect,mean_treatment_minus_control,median_treatment_minus_control,n,paired_t_two_sided_95ci,selected_pair_fraction,split,treatment_mean,treatment_median,whole_seed_bootstrap_mean_95ci,wilcoxon_two_sided_p
0.0,0.0,zero_speed_risk_steps,False,-16.28611111111111,16.28611111111111,12.0,360,"[15.077921687550617, 17.494300534671606]",,pooled,16.28611111111111,12.0,"[15.113888888888889, 17.522222222222222]",9.28322242133053e-61
9.925672013869189,9.852747499189718,planner_compute_ms_p95_health_only,False,-469.345173125143,469.345173125143,472.7862100000493,360,"[467.32604717777605, 471.36429907250994]",,pooled,479.27084513901207,482.67993000008573,"[467.26650942716356, 471.2717260420767]",9.403579473481193e-61
0.0,0.0,planner_deadline_miss_rate_health_only,False,-1.0,1.0,1.0,360,"[1.0, 1.0]",,pooled,1.0,1.0,"[1.0, 1.0]",2.8156843046193092e-80
30.224901185765102,29.799999999994363,time_to_goal_s_both_success_only,False,-1.6059288537555187,1.6059288537555187,0.7999999999995566,253,"[1.3528645588881103, 1.8589931486229272]",0.7027777777777777,pooled,31.830830039520624,30.499999999993975,"[1.3624505928857225, 1.8648221343880642]",2.2344330362859358e-42
323.8388888888889,300.0,failure_penalized_steps,False,-13.95,13.95,6.0,180,"[9.507766009776201, 18.392233990223797]",,id,337.7888888888889,318.5,"[9.655555555555555, 18.43888888888889]",8.072449935076833e-18
0.8996318555837038,0.292877577361872,final_goal_distance,False,0.0976231292123307,-0.0976231292123307,0.0014664504578029425,180,"[-0.30874262390315943, 0.11349636547849805]",,id,0.8020087263713732,0.2943545376305511,"[-0.3068948745579366, 0.1124781271911304]",0.16937802185316386
7.917225381917935,8.50942967604646,path_progress_m_max,True,0.14889614140977198,0.14889614140977198,-0.0009632451510563911,180,"[-0.05107497840776279, 0.3488672612273067]",,id,8.066121523327705,8.50784424081969,"[-0.048655035807786615, 0.3486431684326854]",0.6191088807370753
0.23366808446542037,0.31547016544584494,minimum_clearance,True,0.06053507380203159,0.06053507380203159,0.03256666299619965,180,"[0.04073150634466244, 0.08033864125940074]",,id,0.29420315826745197,0.3511202312251284,"[0.04103978221188637, 0.0802908397475624]",3.948152675463178e-20
0.3126313490661615,0.31971721494596483,conflict_q05_clearance,True,0.10215193876303465,0.10215193876303465,0.04482790875756229,180,"[0.07832854787587942, 0.12597532965018987]",,id,0.41478328782919616,0.3693580477474635,"[0.07955399439863303, 0.12668057676533098]",3.256718226329941e-27
8.03532960500122,8.530821628299364,trajectory_length,False,-0.6954798037350902,0.6954798037350902,0.30379517743845597,180,"[0.4644069136021066, 0.9265526938680738]",,id,8.73080940873631,8.847615599762843,"[0.4711776734221873, 0.928674367867061]",4.00989484186279e-22
0.037024707787367016,0.03001337987489335,applied_control_jerk,False,-0.0029597632786879362,0.0029597632786879362,0.00223732002019935,180,"[0.000971780867470302, 0.00494774568990557]",,id,0.03998447106605495,0.03539004845564668,"[0.0010164317768627644, 0.00497333545665864]",0.0026511151508500736
16.58888888888889,17.0,stuck_steps,False,-3.9166666666666665,3.9166666666666665,-2.0,180,"[1.489846766584241, 6.3434865667490925]",,id,20.505555555555556,15.0,"[1.5777777777777777, 6.388888888888889]",0.13346703880851293
3.061111111111111,2.0,spin_steps,False,-0.016666666666666666,0.016666666666666666,-1.0,180,"[-1.1132990490836134, 1.1466323824169466]",,id,3.077777777777778,0.0,"[-1.05, 1.1888888888888889]",0.00014546673823319587
0.0,0.0,direction_switch_count,False,-1.5722222222222222,1.5722222222222222,1.0,180,"[1.3969953776885013, 1.747449066755943]",,id,1.5722222222222222,1.0,"[1.4055555555555554, 1.75]",5.266302713159596e-32
0.0,0.0,three_phase_oscillation_count,False,-0.07222222222222222,0.07222222222222222,0.0,180,"[0.020587096982223337, 0.1238573474622211]",,id,0.07222222222222222,0.0,"[0.027777777777777776, 0.12777777777777777]",0.0027017995465806223
0.0,0.0,premature_reverse_count,False,-0.011111111111111112,0.011111111111111112,0.0,180,"[-0.00434927337317312, 0.026571495595395345]",,id,0.011111111111111112,0.0,"[0.0, 0.027777777777777776]",0.15729920705028516
0.0,0.0,release_delay_max_s,False,-0.7866666666665824,0.7866666666665824,0.44999999999997264,180,"[0.6430827543969435, 0.9302505789362212]",,id,0.7866666666665824,0.44999999999997264,"[0.6538888888888419, 0.9372222222219773]",2.6911033119958824e-31
20.796111111110722,8.949999999997782,conflict_traversal_time_failure_penalized_s,False,-0.1488888888887033,0.1488888888887033,0.0,180,"[-0.7186300990549761, 1.0164078768323828]",,id,20.944999999999425,8.950000000001378,"[-0.7300000000001704, 0.9994583333332273]",7.501719039421743e-10
0.0,0.0,zero_speed_risk_steps,False,-17.522222222222222,17.522222222222222,13.0,180,"[15.59945039657234, 19.444994047872104]",,id,17.522222222222222,13.0,"[15.683333333333334, 19.505555555555556]",2.771112039854635e-31
9.92499272219397,9.839862499302399,planner_compute_ms_p95_health_only,False,-469.8457563612788,469.8457563612788,473.03249499764206,180,"[467.07456822935853, 472.61694449319907]",,id,479.77074908347277,482.93261249982606,"[466.94645505728965, 472.41651746391534]",2.7348870910495997e-31
0.0,0.0,planner_deadline_miss_rate_health_only,False,-1.0,1.0,1.0,180,"[1.0, 1.0]",,id,1.0,1.0,"[1.0, 1.0]",4.846411842405126e-41
30.268461538455913,29.799999999994363,time_to_goal_s_both_success_only,False,-1.4184615384620027,1.4184615384620027,0.699999999999612,130,"[1.0744739545841895, 1.762449122339816]",0.7222222222222222,id,31.68692307691792,30.499999999993975,"[1.0961538461540368, 1.7753846153854007]",4.29035440114343e-22
322.52777777777777,300.0,failure_penalized_steps,False,-19.17222222222222,19.17222222222222,8.0,180,"[13.804142335518943, 24.5403021089255]",,ood,341.7,332.5,"[13.933333333333334, 24.58888888888889]",2.044868634792838e-16
0.9524509700059102,0.2939408708887709,final_goal_distance,False,0.07327616290445459,-0.07327616290445459,0.0026438725566430565,180,"[-0.3439203197967719, 0.1973679939878627]",,ood,0.8791748071014556,0.2945194538367964,"[-0.3415115734515968, 0.19462014450072204]",0.08597147723647673
7.85596265959982,8.509732307255344,path_progress_m_max,True,0.11720727698028716,0.11720727698028716,-0.0028288499454038885,180,"[-0.1442881158981838, 0.3787026698587581]",,ood,7.973169936580108,8.5087068565616,"[-0.14027324454946807, 0.3766110002554724]",0.21289614889640995
0.22244697513435366,0.31383970813746753,minimum_clearance,True,0.05259708004686128,0.05259708004686128,0.03267839202143502,180,"[0.031057284180207475, 0.07413687591351509]",,ood,0.27504405518121494,0.350856384813154,"[0.03127784857267237, 0.07404512437545009]",3.700712679400429e-12
0.29778787573724624,0.3189634023055036,conflict_q05_clearance,True,0.10463710208491016,0.10463710208491016,0.047009725715520895,180,"[0.0790870877927726, 0.13018711637704772]",,ood,0.4024249778221564,0.3690722214590133,"[0.08111169242380441, 0.1317780841750758]",3.8644217885408165e-27
7.972996966586914,8.527605217825595,trajectory_length,False,-0.7515347356544304,0.7515347356544304,0.31299973679117077,180,"[0.4563174620661377, 1.0467520092427232]",,ood,8.724531702241343,8.875989222169434,"[0.4628512693889548, 1.0474922469663976]",7.907688032276311e-18
0.03773479686940381,0.034260460845976906,applied_control_jerk,False,-0.0036044959222234644,0.0036044959222234644,0.0025771002175984086,180,"[0.0016408416176242092, 0.0055681502268227195]",,ood,0.04133929279162728,0.03999703256200288,"[0.0016809587859634256, 0.0055803270427916335]",0.0005377221975077293
15.505555555555556,16.0,stuck_steps,False,-4.7,4.7,1.5,180,"[2.6392807547626083, 6.760719245237392]",,ood,20.205555555555556,16.5,"[2.688888888888889, 6.766666666666667]",0.0031677174517798358
2.45,2.0,spin_steps,False,-1.1611111111111112,1.1611111111111112,-1.0,180,"[0.06340454552336894, 2.2588176766988535]",,ood,3.611111111111111,0.0,"[0.11666666666666667, 2.283333333333333]",0.1302145702324483
0.0,0.0,direction_switch_count,False,-1.7555555555555555,1.7555555555555555,1.0,180,"[1.5616088763733418, 1.9495022347377693]",,ood,1.7555555555555555,1.0,"[1.5722222222222222, 1.9555555555555555]",2.86248569360797e-32
0.0,0.0,three_phase_oscillation_count,False,-0.08333333333333333,0.08333333333333333,0.0,180,"[0.021388739654769603, 0.14527792701189707]",,ood,0.08333333333333333,0.0,"[0.027777777777777776, 0.15]",0.0027020858323891736
0.0,0.0,premature_reverse_count,False,-0.022222222222222223,0.022222222222222223,0.0,180,"[0.0004811168580121719, 0.043963327586432274]",,ood,0.022222222222222223,0.0,"[0.005555555555555556, 0.044444444444444446]",0.0455002638963584
0.0,0.0,release_delay_max_s,False,-0.7683333333331255,0.7683333333331255,0.39999999999997793,180,"[0.6189326284458665, 0.9177340382203845]",,ood,0.7683333333331255,0.39999999999997793,"[0.6299999999999063, 0.9244444444442008]",2.793094629672942e-31
22.563333333332853,15.099999999998037,conflict_traversal_time_failure_penalized_s,False,0.45000000000017876,-0.45000000000017876,0.0,180,"[-1.5305907351979369, 0.6305907351975795]",,ood,22.113333333332676,14.299999999997326,"[-1.5600000000001841, 0.5938888888887104]",4.071757361059336e-06
0.0,0.0,zero_speed_risk_steps,False,-15.05,15.05,12.0,180,"[13.589965950794117, 16.510034049205885]",,ood,15.05,12.0,"[13.65, 16.533333333333335]",2.6966182405093487e-31
9.926351305544408,9.855225000592327,planner_compute_ms_p95_health_only,False,-468.84458988900707,468.84458988900707,472.4640600004932,180,"[465.8824197169978, 471.80676006101635]",,ood,478.7709411945515,482.3943750006947,"[465.7692321014479, 471.62360424042566]",2.7348870910495997e-31
0.0,0.0,planner_deadline_miss_rate_health_only,False,-1.0,1.0,1.0,180,"[1.0, 1.0]",,ood,1.0,1.0,"[1.0, 1.0]",4.846411842405126e-41
30.17886178861221,29.699999999994418,time_to_goal_s_both_success_only,False,-1.8040650406511052,1.8040650406511052,0.8999999999995012,123,"[1.4297955200436272, 2.178334561258583]",0.6833333333333333,ood,31.982926829263317,30.699999999993864,"[1.4487804878052795, 2.185365853659646]",6.226788571056652e-22
